    6       -0.00179        0.00821        0.01221       -0.01379       -0.31734
   11       -0.02143       -0.02642       -0.00042       -0.00458       -0.48158
   14       -0.03111       -0.05011       -0.01111       -0.04956       -0.43983
   20       -0.01768       -0.04268        0.00432       -0.00006       -0.26024
   40       -0.03373       -0.03173       -0.02773       -0.06219       -0.06219
   41        0.00000       -0.05291       -0.03991        0.25970        0.08624
   43        0.00000        0.01389        0.02189       -0.43723       -0.22041
   50       -0.02446       -0.02746       -0.00946       -0.01378       -0.18723
   67        0.07841        0.03841        0.08641        0.06842       -0.23512
   70        0.01742        0.00442        0.03942        0.01316       -0.20366
   72       -0.01985       -0.03185       -0.00585       -0.01419       -0.01419
   75        0.05069        0.05769        0.05769        0.11004       -0.32359
   76       -0.03720       -0.04920       -0.04020       -0.11396       -0.85114
   77        0.01626        0.00326        0.02426        0.06340       -0.32687
   78        0.13180        0.08379        0.13180        0.19673       -0.93072
   82        0.14736        0.12036        0.13836        0.09426       -0.51283
   86        0.02131       -0.01069        0.02431        0.05398       -0.42302
   87        0.04044        0.00944        0.04444        0.06586       -0.02086
   88        0.11040        0.05440        0.09740        0.07090       -0.53618
   89       -0.04890       -0.05590       -0.04790       -0.06940       -0.63313
   90        0.03386        0.01086        0.03686        0.05845       -0.67873
   92        0.07298        0.06098        0.09098        0.08260        0.08260
   94       -0.07821       -0.07521       -0.06721       -0.07094        0.18924
   95       -0.01121        0.01079        0.03679        0.03732        0.03732
   96       -0.07008       -0.06408       -0.06408       -0.08581        0.13100
   98       -0.06242       -0.09142       -0.08242       -0.16446       -0.81491
   99        0.06162        0.01862        0.06262        0.03228       -0.66154
  103       -0.04217       -0.03517       -0.03517       -0.06118       -0.32136
  104       -0.05390       -0.05490       -0.04690       -0.04221       -0.34575
  105       -0.03737       -0.05837       -0.03237       -0.04460       -0.26141
  106        0.02366       -0.01234        0.00966       -0.01182       -0.83573
  109        0.18354        0.12854        0.15854        0.11552       -0.96857
  112        0.00595       -0.00605        0.01095        0.00693       -0.12316
  114       -0.03163       -0.01563       -0.00663        0.00572       -0.25446
  116       -0.02498       -0.01598       -0.01198        0.00536       -0.08136
  117       -0.02401       -0.06101       -0.00501       -0.01813        0.06859
  119        0.03281        0.04181        0.03281       -0.01876       -0.71257
  120        0.00000       -0.02102       -0.01702       -0.04295       -0.34650
  121        0.01151        0.01151        0.01951        0.01167        0.01167
  123        0.01094        0.01594        0.02094        0.04674       -0.30016
  125       -0.04572       -0.02672        0.01228        0.08102        0.55802
  128       -0.02397       -0.01497        0.00303        0.02008        0.15017
  129       -0.06047       -0.04246       -0.02446        0.03203        0.42230
  130       -0.07622       -0.04122        0.00178        0.01938       -0.24080
  131        0.04185        0.04085        0.03185       -0.02426       -0.80480
  132        0.13613        0.12313        0.10513        0.03154       -1.09591
